Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:24	plm5	207302	Metaphor [26706]	You, Lord, heart-knower of all	1	Here, the **heart** represents the thoughts and motives. Alternate translation: “You, Lord, who know the thoughts and motives of all people”
1:24	l1mz	207303	Forms of ‘You’ — Formal or Informal [26734]	You, Lord	1	The word **you** is singular because the person who is praying is addressing God. If your language has a formal form of “you” that it uses to address a superior respectfully, you may wish to use that form in your translation. However, it might be more natural in your language for someone who has a good, close relationship with God to address God using the informal form of “you.” Use your best judgment about what form to use here.
1:24	k2uv	207304	Nominal Adjectives [26708]	which one from these two you have chosen	1	The person who is praying is using the adjective **two** as a noun to refer to specific people, the two men whom the believers have proposed. Your language may use adjectives in the same way. If not, you could add the term “men” to clarify the meaning. Alternate translation: “which one of these two men”
1:25	aqrs	207305	Hendiadys [26694]	to take this place of ministry and apostleship	1	The person who is praying is expressing a single idea by using two words connected with **and**. The word **apostleship** identifies what kind of **ministry** this is. Alternate translation: “to take this place of apostolic ministry”
1:25	yi96	207306	Metaphor [26706]	from which Judas turned aside	1	The expression **turned aside** means that Judas stopped performing this ministry. Alternate translation: “which Judas stopped fulfilling”
1:25	k2dz	207307	Euphemism [26682]	to go to his own place	1	This phrase uses a mild expression to describe Judas’ death and likely also his judgment after death. Alternate translation: “and died under God’s judgment as a result”
1:26	xo24	207308	Connect — Reason-and-Result Relationship [26745]	And	1	Luke uses the word translated **And** to introduce what the believers did as a result of Peter’s speech. Alternate translation: “So”
1:26	t7jj	207309	Pronouns — When to Use Them [26838]	they cast lots for them	1	The pronoun **they** refers to the believers and the pronoun **them** refers to Joseph and Matthias. You may want to specify that for clarity. (But if you decide to retain the pronoun **them** and if your language marks the dual form, **them** would be dual because it refers to those two men.) Alternate translation: “the believers cast lots to decide between Joseph and Matthias”
1:26	n3mu	207310	Translate Unknowns [26822]	they cast lots for them	1	The term **lots** describes objects with various markings on different sides that were used, most likely by dropping them on the ground, to select between possibilities. The belief was that God would control which way these objects fell and so guide the selection process. Alternate translation: “they threw marked objects on the ground, trusting that God would use these to guide them whether to choose Joseph or Matthias”
1:26	wdhb	207311	Idiom [26697]	the lot fell to Matthias	1	The word **fell** means “selected.” If it would be helpful in your language, you could state the meaning plainly. Alternate translation: “the lot selected Matthias”
1:26	sxhw	207312	Active or Passive [26672]	he was chosen together	1	If your language does not use this passive form, you could state this in active form. Alternate translation: “the believers chose him”
2:1	jg6t	207313	Introduction of a New Event [26833]	And when the day of Pentecost was completely filled	1	Luke uses this time reference to introduce a new event in the story. Use a word, phrase, or other method in your language that is natural for introducing a new event.
